title,plot
Taken,A retired CIA operative uses his skills to rescue his kidnapped daughter in Paris.
Mission: Impossible – Fallout,"Ethan Hunt and his team race against time after a mission goes wrong, with high-stakes chases through Paris."
The Bourne Identity,A man with amnesia tries to discover his true identity while being pursued by assassins in Europe.
Amélie,A whimsical Parisian woman decides to change the lives of those around her for the better.
Skyfall,Bond investigates an attack on MI6 as secrets from M's past come back to haunt her.
Tinker Tailor Soldier Spy,A retired intelligence officer is asked to investigate a suspected Soviet mole within MI6.
Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
The Man from U.N.C.L.E.,"In the early 1960s, a CIA agent and KGB operative join forces against a mysterious criminal organization."
Ronin,"A team of ex-special operatives is hired to steal a mysterious briefcase, leading to dangerous chases through France."
Atomic Blonde,An undercover MI6 agent is sent to Berlin during the Cold War to investigate a murder and recover a missing list of double agents.
